0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:21:42 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 6790
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:21:42 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 6790
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:21:47 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 6790
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:21:47 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13164
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:21:47 -0500] "GET /ProyectoLP1/cssss/5.jpg HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:21:55 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 6790
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:21:55 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13161
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:21:55 -0500] "GET /ProyectoLP1/cssss/5.jpg HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:22:00 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 6790
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:22:00 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13161
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:22:00 -0500] "GET /ProyectoLP1/cssss/5.jpg HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:22:06 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 6790
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:22:06 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13161
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:22:06 -0500] "GET /ProyectoLP1/cssss/5.jpg HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:22:13 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1213
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:22:13 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:22:21 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1213
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:22:21 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13161
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:22:25 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 6790
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:22:25 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:22:25 -0500] "GET /ProyectoLP1/cssss/5.jpg HTTP/1.1" 404 718
